2010-10-26 15:24:30 Notice: Notice (8): Undefined index: degree_level in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 80]
2010-10-26 15:25:47 Notice: Notice (8): Undefined property: Network::$Networks in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 78]
2010-10-26 15:25:47 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/datasources/dbo_source.php, line 746]
2010-10-26 15:26:37 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/datasources/dbo_source.php, line 746]
2010-10-26 15:28:46 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/datasources/dbo_source.php, line 746]
2010-10-26 15:34:32 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/datasources/dbo_source.php, line 746]
2010-10-28 09:13:35 Notice: Notice (8): Undefined variable: xml in [/Applications/MAMP/htdocs/onlineschool/app/views/parser/index.ctp, line 6]
2010-10-28 11:21:24 Notice: Notice (8): Undefined variable: subjects_opts in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 13]
2010-10-28 11:27:24 Notice: Notice (8): Undefined variable: degress in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 21]
2010-10-28 11:35:03 Notice: Notice (8): Undefined variable: html in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 10]
2010-10-28 11:55:06 Notice: Notice (8): Undefined property: Subject::$SubSubjects in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 9]
2010-10-28 11:55:50 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 12:01:36 Notice: Notice (8): Undefined index: Subject in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 11]
2010-10-28 12:01:43 Notice: Notice (8): Undefined index: Subjects in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 11]
2010-10-28 12:04:20 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 12:06:56 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 12:07:35 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 12:08:14 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 12:08:14 Notice: Notice (8): Undefined index: Subject in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 11]
2010-10-28 12:08:38 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:26:45 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:28:31 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:28:47 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
